gRNA,loss
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,692.2557373046875
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,1448.3701171875
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,1103.263427734375
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,1296.2939453125
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,938.8080444335938
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,1344.1739501953125
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,932.6332397460938
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,1187.6331787109375
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,926.8868408203125
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,428.4133605957031
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,721.7355346679688
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,454.357177734375
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,1282.0089111328125
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,814.0874633789062
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,943.3590698242188
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,1536.730712890625
CROPseq_dCas9_DS_GATA1-A,429.26556396484375
CROPseq_dCas9_DS_GATA1-B,597.9725341796875
CROPseq_dCas9_DS_GATA1-C,631.0396728515625
CROPseq_dCas9_DS_GATA1-D,688.700439453125
CROPseq_dCas9_DS_HS2-A,700.9177856445312
CROPseq_dCas9_DS_HS2-B,842.405517578125
CROPseq_dCas9_DS_HS2-C,1064.134521484375
CROPseq_dCas9_DS_HS2-D,1615.8856201171875
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,781.1378173828125
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,270.89019775390625
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,1070.039306640625
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,1347.8819580078125
CROPseq_dCas9_DS_MYC-A,1218.66845703125
CROPseq_dCas9_DS_MYC-B,999.7030029296875
CROPseq_dCas9_DS_MYC-C,837.2211303710938
CROPseq_dCas9_DS_MYC-D,706.2801513671875
CROPseq_dCas9_DS_OXR1_+_107670106.23,1146.5093994140625
CROPseq_dCas9_DS_OXR1_+_107670159.23,1128.3480224609375
CROPseq_dCas9_DS_OXR1_+_107670422.23,1337.6751708984375
CROPseq_dCas9_DS_OXR1_-_107670413.23,1018.4476318359375
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,1073.74560546875
