gRNA,weight_Normal1,weight_Normal2,mu1,mu2,scale1,scale2
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,0.99094415,0.009055807,0.003626163,1.7111936,[0.02424905],[0.02424905]
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,0.98111665,0.018883416,0.008302057,1.73673,[0.02469894],[0.02469894]
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,0.98516476,0.014835273,0.006315771,1.7302299,[0.02434895],[0.02434895]
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,0.98298097,0.017019052,0.0073798867,1.7321709,[0.02448353],[0.02448353]
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,0.9872584,0.012741685,0.0049162805,1.6611446,[0.02525176],[0.02525176]
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,0.98329896,0.016701063,0.007952683,1.7549793,[0.02461156],[0.02461156]
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,0.9883046,0.011695402,0.005110493,1.6996107,[0.0251481],[0.0251481]
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,0.9856661,0.014333864,0.0069753435,1.7409157,[0.02498589],[0.02498589]
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,0.98843867,0.011561359,0.0055245874,1.7150062,[0.0250138],[0.0250138]
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,0.99526715,0.004732902,0.0029121586,1.7448812,[0.02439717],[0.02439717]
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,0.9921726,0.0078274375,0.005375877,1.7600644,[0.02509476],[0.02509476]
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,0.99458486,0.005415143,0.003109912,1.7559551,[0.0236317],[0.0236317]
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,0.98152494,0.018475072,0.006784584,1.6095804,[0.02546189],[0.02546189]
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,0.98971564,0.010284374,0.005398685,1.7665447,[0.02400147],[0.02400147]
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,0.9856727,0.014327324,0.0043959874,1.6823996,[0.02379355],[0.02379355]
