gRNA,weight_Poisson,weight_Normal,lambda,mu,scale
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,0.5480468,0.45195317,0.09632732719182968,5.43857479095459,1.1625880002975464
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,0.57345587,0.42654413,0.09306591004133224,5.5087714195251465,1.1427292823791504
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,0.56883556,0.43116447,0.08935381472110748,5.5189080238342285,1.0898194313049316
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,0.56929255,0.43070742,0.09910956025123596,5.522026538848877,1.0713157653808594
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,0.54022133,0.45977867,0.08733434975147247,5.351609230041504,1.1664133071899414
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,0.5884877,0.41151237,0.10204272717237473,5.5171895027160645,1.1475353240966797
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,0.56029844,0.4397016,0.0996146947145462,5.401721954345703,1.2230055332183838
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,0.591388,0.40861198,0.10547443479299545,5.470999240875244,1.2054952383041382
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,0.5913596,0.40864038,0.09450581669807434,5.456559658050537,1.1821527481079102
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,0.6372751,0.36272484,0.09230107814073563,5.404064655303955,1.3176912069320679
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,0.6773203,0.32267964,0.10153678059577942,5.514816761016846,1.1805797815322876
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,0.64149606,0.3585039,0.09850472211837769,5.566036701202393,1.0536231994628906
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,0.53077686,0.46922314,0.0996222198009491,5.288607597351074,0.9331936836242676
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,0.6216456,0.37835437,0.09303085505962372,5.590854644775391,1.0421427488327026
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,0.4913909,0.50860906,0.09017036110162735,5.470232009887695,0.9985466003417969
