n_jobs,event,duration_s
1,load_h5ad,0.038
1,fit_one,6.281
1,fit_one,2.373
1,fit_one,2.425
1,fit_one,2.348
1,fit_one,2.354
1,fit_one,2.505
1,fit_one,2.566
1,fit_one,2.673
1,fit_one,2.552
1,fit_one,2.419
1,fit_one,2.416
1,fit_one,2.428
1,fit_one,2.445
1,fit_one,2.415
1,fit_one,2.468
1,fit_one,2.45
1,fit_one,2.511
1,fit_one,2.505
1,fit_one,2.451
1,fit_one,2.313
1,fit_one,2.349
1,fit_one,2.411
1,fit_one,2.375
1,fit_one,2.364
1,fit_one,2.356
1,fit_one,2.332
1,fit_one,2.607
1,fit_one,3.066
1,fit_one,2.384
1,fit_one,2.443
1,fit_one,2.463
1,fit_one,2.5140000000000002
1,fit_one,2.537
1,fit_one,2.844
1,fit_one,2.567
1,fit_one,2.814
1,fit_one,3.01
1,fit_one,2.606
1,fit_one,2.651
1,fit_one,2.606
1,fit_one,2.8609999999999998
1,fit_one,3.848
1,fit_one,3.091
1,fit_one,2.912
1,fit_one,3.62
1,fit_one,2.529
1,fit_one,2.283
1,fit_one,2.366
1,fit_one,2.362
1,fit_one,2.348
1,fit_one,2.41
1,fit_one,2.446
1,fit_one,2.403
1,fit_one,2.496
1,fit_one,2.443
1,fit_one,2.371
1,fit_one,2.628
1,fit_one,2.442
1,fit_one,2.364
1,fit_one,2.368
1,fit_one,2.308
1,fit_one,2.321
1,fit_one,2.267
1,fit_one,2.384
1,fit_one,2.288
1,fit_one,2.279
1,fit_one,2.4
1,fit_one,2.515
1,fit_one,2.6790000000000003
1,fit_one,2.468
1,fit_one,2.525
1,fit_one,2.578
1,fit_one,2.513
1,fit_one,2.378
1,fit_one,2.459
1,fit_one,2.379
1,fit_one,2.437
1,fit_one,2.4
1,fit_one,2.505
1,fit_one,2.465
1,fit_one,2.637
1,fit_one,2.393
1,fit_one,2.384
1,fit_one,2.378
1,fit_one,2.356
1,fit_one,2.825
1,fit_loop,220.318
1,assemble,0.225
1,write_csv,0.07
1,combine_batches,0.073
1,ga_gauss,220.731
1,load_h5ad,0.026
1,fit_one,1.6139999999999999
1,fit_one,1.666
1,fit_one,1.716
1,fit_one,1.7
1,fit_one,1.6720000000000002
1,fit_one,1.658
1,fit_one,1.647
1,fit_one,1.78
1,fit_one,2.164
1,fit_one,2.787
1,fit_one,1.754
1,fit_one,1.733
1,fit_one,1.745
1,fit_one,1.838
1,fit_one,1.818
1,fit_one,1.693
1,fit_one,2.388
1,fit_one,2.309
1,fit_one,1.6680000000000001
1,fit_one,2.295
1,fit_one,2.492
1,fit_one,1.96
1,fit_one,1.6139999999999999
1,fit_one,1.52
1,fit_one,1.4729999999999999
1,fit_one,1.456
1,fit_one,1.462
1,fit_one,1.453
1,fit_one,1.495
1,fit_one,1.478
1,fit_one,1.337
1,fit_one,1.363
1,fit_one,1.439
1,fit_one,1.42
1,fit_one,1.437
1,fit_one,1.2810000000000001
1,fit_one,1.234
1,fit_one,1.225
1,fit_one,1.212
1,fit_one,1.267
1,fit_one,1.228
1,fit_one,1.216
1,fit_one,1.24
1,fit_one,1.222
1,fit_one,1.209
1,fit_one,1.231
1,fit_one,1.213
1,fit_one,1.179
1,fit_one,1.228
1,fit_one,1.216
1,fit_one,1.229
1,fit_one,1.193
1,fit_one,1.208
1,fit_one,1.199
1,fit_one,1.195
1,fit_one,1.19
1,fit_one,1.228
1,fit_one,1.226
1,fit_one,1.237
1,fit_one,1.236
1,fit_one,1.2349999999999999
1,fit_one,1.221
1,fit_one,1.222
1,fit_one,1.23
1,fit_one,1.222
1,fit_one,1.286
1,fit_one,1.217
1,fit_one,1.229
1,fit_one,1.241
1,fit_one,1.218
1,fit_one,1.22
1,fit_one,1.223
1,fit_one,1.229
1,fit_one,1.223
1,fit_one,1.254
1,fit_one,1.214
1,fit_one,1.22
1,fit_one,1.259
1,fit_one,1.237
1,fit_one,1.222
1,fit_one,1.211
1,fit_one,1.271
1,fit_one,1.219
1,fit_one,1.233
1,fit_one,1.259
1,fit_one,1.241
1,fit_loop,124.528
1,assemble,0.149
1,write_csv,0.036
1,ga_poisson_gauss,124.741
1,run,345.472
100,load_h5ad,0.025
100,pool_setup,1.338
100,fit_loop,6.317
100,assemble,0.168
100,write_csv,0.054
100,combine_batches,0.056
100,ga_gauss,8.39
100,load_h5ad,0.02
100,pool_setup,1.504
100,fit_loop,4.73
100,assemble,0.149
100,write_csv,0.035
100,ga_poisson_gauss,6.875
100,run,15.265
16,load_h5ad,0.043
16,pool_setup,0.298
16,fit_loop,18.67
16,assemble,0.202
16,write_csv,0.057
16,combine_batches,0.061
16,ga_gauss,19.424
16,load_h5ad,0.022
16,pool_setup,0.205
16,fit_loop,10.062
16,assemble,0.151
16,write_csv,0.036
16,ga_poisson_gauss,10.561
16,run,29.986
2,load_h5ad,0.024
2,pool_setup,0.034
2,fit_loop,79.203
2,assemble,0.184
2,write_csv,0.052
2,combine_batches,0.057
2,ga_gauss,79.6
2,load_h5ad,0.02
2,pool_setup,0.034
2,fit_loop,55.43
2,assemble,0.2
2,write_csv,0.037
2,ga_poisson_gauss,55.764
2,run,135.364
32,load_h5ad,0.027
32,pool_setup,0.432
32,fit_loop,8.25
32,assemble,0.174
32,write_csv,0.052
32,combine_batches,0.056
32,ga_gauss,9.142
32,load_h5ad,0.02
32,pool_setup,0.446
32,fit_loop,5.634
32,assemble,0.191
32,write_csv,0.035
32,ga_poisson_gauss,6.474
32,run,15.616
4,load_h5ad,0.025
4,pool_setup,0.063
4,fit_loop,40.026
4,assemble,0.225
4,write_csv,0.054
4,combine_batches,0.057
4,ga_gauss,40.503
4,load_h5ad,0.02
4,pool_setup,0.077
4,fit_loop,27.958
4,assemble,0.187
4,write_csv,0.035
4,ga_poisson_gauss,28.327
4,run,68.83
64,load_h5ad,0.025
64,pool_setup,0.825
64,fit_loop,6.997
64,assemble,0.17
64,write_csv,0.052
64,combine_batches,0.06
64,ga_gauss,8.418
64,load_h5ad,0.02
64,pool_setup,0.911
64,fit_loop,4.859
64,assemble,0.149
64,write_csv,0.036
64,ga_poisson_gauss,6.2780000000000005
64,run,14.696
8,load_h5ad,0.027
8,pool_setup,0.113
8,fit_loop,21.973
8,assemble,0.292
8,write_csv,0.085
8,combine_batches,0.102
8,ga_gauss,22.684
8,load_h5ad,0.038
8,pool_setup,0.227
8,fit_loop,21.701999999999998
8,assemble,0.206
8,write_csv,0.045
8,ga_poisson_gauss,22.294
8,run,44.978
