n_jobs,pid,event,gRNA,duration_s,t_first_event,t_last_event
100,2305728,worker_init,,,2026-05-11 15:02:43.020000+00:00,2026-05-11 15:02:50.260000+00:00
100,2305728,fit_one,CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,5.922,2026-05-11 15:02:43.020000+00:00,2026-05-11 15:02:50.260000+00:00
100,2305729,worker_init,,,2026-05-11 15:02:43.030000+00:00,2026-05-11 15:02:50.255000+00:00
100,2305729,fit_one,CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,5.917,2026-05-11 15:02:43.030000+00:00,2026-05-11 15:02:50.255000+00:00
100,2305730,worker_init,,,2026-05-11 15:02:43.042000+00:00,2026-05-11 15:02:50.116000+00:00
100,2305730,fit_one,CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,5.7780000000000005,2026-05-11 15:02:43.042000+00:00,2026-05-11 15:02:50.116000+00:00
100,2305731,worker_init,,,2026-05-11 15:02:43.053000+00:00,2026-05-11 15:02:50.053000+00:00
100,2305731,fit_one,CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,5.714,2026-05-11 15:02:43.053000+00:00,2026-05-11 15:02:50.053000+00:00
100,2305732,worker_init,,,2026-05-11 15:02:43.062000+00:00,2026-05-11 15:02:49.720000+00:00
100,2305732,fit_one,CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,5.381,2026-05-11 15:02:43.062000+00:00,2026-05-11 15:02:49.720000+00:00
100,2305733,worker_init,,,2026-05-11 15:02:43.075000+00:00,2026-05-11 15:02:49.445000+00:00
100,2305733,fit_one,CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,5.106,2026-05-11 15:02:43.075000+00:00,2026-05-11 15:02:49.445000+00:00
100,2305734,worker_init,,,2026-05-11 15:02:43.086000+00:00,2026-05-11 15:02:50.051000+00:00
100,2305734,fit_one,CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,5.712,2026-05-11 15:02:43.086000+00:00,2026-05-11 15:02:50.051000+00:00
100,2305735,worker_init,,,2026-05-11 15:02:43.097000+00:00,2026-05-11 15:02:49.659000+00:00
100,2305735,fit_one,CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,5.32,2026-05-11 15:02:43.097000+00:00,2026-05-11 15:02:49.659000+00:00
100,2305736,worker_init,,,2026-05-11 15:02:43.111000+00:00,2026-05-11 15:02:50.010000+00:00
100,2305736,fit_one,CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,5.67,2026-05-11 15:02:43.111000+00:00,2026-05-11 15:02:50.010000+00:00
100,2305737,worker_init,,,2026-05-11 15:02:43.122000+00:00,2026-05-11 15:02:49.916000+00:00
100,2305737,fit_one,CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,5.576,2026-05-11 15:02:43.122000+00:00,2026-05-11 15:02:49.916000+00:00
100,2305738,worker_init,,,2026-05-11 15:02:43.133000+00:00,2026-05-11 15:02:49.144000+00:00
100,2305738,fit_one,CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,4.804,2026-05-11 15:02:43.133000+00:00,2026-05-11 15:02:49.144000+00:00
100,2305739,worker_init,,,2026-05-11 15:02:43.147000+00:00,2026-05-11 15:02:50.126000+00:00
100,2305739,fit_one,CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,5.786,2026-05-11 15:02:43.147000+00:00,2026-05-11 15:02:50.126000+00:00
100,2305740,worker_init,,,2026-05-11 15:02:43.159000+00:00,2026-05-11 15:02:50.265000+00:00
100,2305740,fit_one,CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,5.924,2026-05-11 15:02:43.159000+00:00,2026-05-11 15:02:50.265000+00:00
100,2305741,worker_init,,,2026-05-11 15:02:43.172000+00:00,2026-05-11 15:02:50.242000+00:00
100,2305741,fit_one,CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,5.901,2026-05-11 15:02:43.172000+00:00,2026-05-11 15:02:50.242000+00:00
100,2305742,worker_init,,,2026-05-11 15:02:43.185000+00:00,2026-05-11 15:02:50.337000+00:00
100,2305742,fit_one,CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,5.996,2026-05-11 15:02:43.185000+00:00,2026-05-11 15:02:50.337000+00:00
100,2305743,worker_init,,,2026-05-11 15:02:43.197000+00:00,2026-05-11 15:02:50.257000+00:00
100,2305743,fit_one,CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,5.916,2026-05-11 15:02:43.197000+00:00,2026-05-11 15:02:50.257000+00:00
100,2305744,worker_init,,,2026-05-11 15:02:43.212000+00:00,2026-05-11 15:02:50.180000+00:00
100,2305744,fit_one,CROPseq_dCas9_DS_GATA1-A,5.839,2026-05-11 15:02:43.212000+00:00,2026-05-11 15:02:50.180000+00:00
100,2305745,worker_init,,,2026-05-11 15:02:43.224000+00:00,2026-05-11 15:02:49.172000+00:00
100,2305745,fit_one,CROPseq_dCas9_DS_GATA1-B,4.83,2026-05-11 15:02:43.224000+00:00,2026-05-11 15:02:49.172000+00:00
100,2305746,worker_init,,,2026-05-11 15:02:43.236000+00:00,2026-05-11 15:02:49.849000+00:00
100,2305746,fit_one,CROPseq_dCas9_DS_GATA1-C,5.507,2026-05-11 15:02:43.236000+00:00,2026-05-11 15:02:49.849000+00:00
100,2305747,worker_init,,,2026-05-11 15:02:43.251000+00:00,2026-05-11 15:02:50.345000+00:00
100,2305747,fit_one,CROPseq_dCas9_DS_GATA1-D,6.003,2026-05-11 15:02:43.251000+00:00,2026-05-11 15:02:50.345000+00:00
100,2305748,worker_init,,,2026-05-11 15:02:43.262000+00:00,2026-05-11 15:02:50.157000+00:00
100,2305748,fit_one,CROPseq_dCas9_DS_HS2-A,5.8149999999999995,2026-05-11 15:02:43.262000+00:00,2026-05-11 15:02:50.157000+00:00
100,2305749,worker_init,,,2026-05-11 15:02:43.276000+00:00,2026-05-11 15:02:50.316000+00:00
100,2305749,fit_one,CROPseq_dCas9_DS_HS2-B,5.974,2026-05-11 15:02:43.276000+00:00,2026-05-11 15:02:50.316000+00:00
100,2305750,worker_init,,,2026-05-11 15:02:43.288000+00:00,2026-05-11 15:02:49.591000+00:00
100,2305750,fit_one,CROPseq_dCas9_DS_HS2-C,5.248,2026-05-11 15:02:43.288000+00:00,2026-05-11 15:02:49.591000+00:00
100,2305751,worker_init,,,2026-05-11 15:02:43.302000+00:00,2026-05-11 15:02:50.117000+00:00
100,2305751,fit_one,CROPseq_dCas9_DS_HS2-D,5.774,2026-05-11 15:02:43.302000+00:00,2026-05-11 15:02:50.117000+00:00
100,2305752,worker_init,,,2026-05-11 15:02:43.313000+00:00,2026-05-11 15:02:49.758000+00:00
100,2305752,fit_one,CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,5.415,2026-05-11 15:02:43.313000+00:00,2026-05-11 15:02:49.758000+00:00
100,2305753,worker_init,,,2026-05-11 15:02:43.327000+00:00,2026-05-11 15:02:50.064000+00:00
100,2305753,fit_one,CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,5.721,2026-05-11 15:02:43.327000+00:00,2026-05-11 15:02:50.064000+00:00
