run,variant,n_jobs,method,phase,wall_seconds,speedup,efficiency
parallel_n1,parallel,1,ga_gauss,ga_gauss,220.731,1.0,1.0
parallel_n1,parallel,1,ga_poisson_gauss,ga_poisson_gauss,124.741,1.0,1.0
parallel_n1,parallel,1,,load_h5ad,220.756,,
parallel_n100,parallel,100,ga_gauss,ga_gauss,8.39,26.3088200238379,0.263088200238379
parallel_n100,parallel,100,ga_poisson_gauss,ga_poisson_gauss,6.875,18.144145454545455,0.18144145454545454
parallel_n100,parallel,100,,load_h5ad,8.41,,
parallel_n16,parallel,16,ga_gauss,ga_gauss,19.424,11.363828253706755,0.7102392658566722
parallel_n16,parallel,16,ga_poisson_gauss,ga_poisson_gauss,10.561,11.811476185967239,0.7382172616229524
parallel_n16,parallel,16,,load_h5ad,19.446,,
parallel_n2,parallel,2,ga_gauss,ga_gauss,79.6,2.7730025125628144,1.3865012562814072
parallel_n2,parallel,2,ga_poisson_gauss,ga_poisson_gauss,55.764,2.2369449824259378,1.1184724912129689
parallel_n2,parallel,2,,load_h5ad,79.62,,
parallel_n32,parallel,32,ga_gauss,ga_gauss,9.142,24.144716692189892,0.7545223966309341
parallel_n32,parallel,32,ga_poisson_gauss,ga_poisson_gauss,6.474,19.267995057151683,0.6021248455359901
parallel_n32,parallel,32,,load_h5ad,9.163,,
parallel_n4,parallel,4,ga_gauss,ga_gauss,40.503,5.449744463373083,1.3624361158432707
parallel_n4,parallel,4,ga_poisson_gauss,ga_poisson_gauss,28.327,4.403607865287535,1.1009019663218838
parallel_n4,parallel,4,,load_h5ad,40.524,,
parallel_n64,parallel,64,ga_gauss,ga_gauss,8.418,26.221311475409838,0.4097079918032787
parallel_n64,parallel,64,ga_poisson_gauss,ga_poisson_gauss,6.2780000000000005,19.869544440904747,0.31046163188913667
parallel_n64,parallel,64,,load_h5ad,8.438,,
parallel_n8,parallel,8,ga_gauss,ga_gauss,22.684,9.73069123611356,1.216336404514195
parallel_n8,parallel,8,ga_poisson_gauss,ga_poisson_gauss,22.294,5.595272270566071,0.6994090338207589
parallel_n8,parallel,8,,load_h5ad,22.723,,
