gRNA,loss
CROPseq_dCas9_DS_CCNE2_+_95907328.23-P1P2,-22355.623046875
CROPseq_dCas9_DS_CCNE2_+_95907382.23-P1P2,18970.92578125
CROPseq_dCas9_DS_CCNE2_+_95907406.23-P1P2,-138.13314819335938
CROPseq_dCas9_DS_CCNE2_-_95907017.23-P1P2,8819.044921875
CROPseq_dCas9_DS_CPQ_+_97657557.23-P1P2,-10302.6318359375
CROPseq_dCas9_DS_CPQ_+_97657573.23-P1P2,12830.4404296875
CROPseq_dCas9_DS_CPQ_-_97657567.23-P1P2,-9215.119140625
CROPseq_dCas9_DS_CPQ_-_97657591.23-P1P2,5021.61279296875
CROPseq_dCas9_DS_DSCC1_+_120867694.23-P1P2,-8552.9306640625
CROPseq_dCas9_DS_DSCC1_+_120868042.23-P1P2,-34509.64453125
CROPseq_dCas9_DS_DSCC1_-_120867704.23-P1P2,-17508.451171875
CROPseq_dCas9_DS_DSCC1_-_120868119.23-P1P2,-33710.53515625
CROPseq_dCas9_DS_FAM83A_+_124194986-P1P2,-43.6045036315918
CROPseq_dCas9_DS_FAM83A_+_124195012-P1P2,-14218.412109375
CROPseq_dCas9_DS_FAM83A_-_124194976-P1P2,-11708.5908203125
CROPseq_dCas9_DS_FAM83A_-_124194996-P1P2,18696.833984375
CROPseq_dCas9_DS_GATA1-A,-36809.56640625
CROPseq_dCas9_DS_GATA1-B,-27520.900390625
CROPseq_dCas9_DS_GATA1-C,-25285.083984375
CROPseq_dCas9_DS_GATA1-D,-19554.474609375
CROPseq_dCas9_DS_HS2-A,-23548.662109375
CROPseq_dCas9_DS_HS2-B,-13857.189453125
CROPseq_dCas9_DS_HS2-C,173.1686553955078
CROPseq_dCas9_DS_HS2-D,27354.59375
CROPseq_dCas9_DS_LRRCC1_+_86019483.23-P1P2,-15007.0146484375
CROPseq_dCas9_DS_LRRCC1_+_86019509.23-P1P2,-42872.296875
CROPseq_dCas9_DS_LRRCC1_+_86019522.23-P1P2,-2910.8447265625
CROPseq_dCas9_DS_LRRCC1_+_86019818.23-P1P2,15996.5771484375
CROPseq_dCas9_DS_MYC-A,9701.05078125
CROPseq_dCas9_DS_MYC-B,-5743.2099609375
CROPseq_dCas9_DS_MYC-C,-15815.2978515625
CROPseq_dCas9_DS_MYC-D,-21745.076171875
CROPseq_dCas9_DS_OXR1_+_107670106.23,1747.025634765625
CROPseq_dCas9_DS_OXR1_+_107670159.23,-220.77301025390625
CROPseq_dCas9_DS_OXR1_+_107670422.23,14544.818359375
CROPseq_dCas9_DS_OXR1_-_107670413.23,-3158.90673828125
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,-3968.230224609375
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,-4730.046875
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,-40218.20703125
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,39350.91796875
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,-18329.9375
