run,variant,n_jobs,method,phase,wall_seconds,speedup,efficiency
parallel_n1,parallel,1,ga_gauss,ga_gauss,188.281,1.0,1.0
parallel_n1,parallel,1,ga_poisson_gauss,ga_poisson_gauss,152.173,1.0,1.0
parallel_n100,parallel,100,ga_gauss,ga_gauss,9.182,20.505445436724024,0.20505445436724024
parallel_n100,parallel,100,ga_poisson_gauss,ga_poisson_gauss,8.007,19.00499562882478,0.1900499562882478
parallel_n16,parallel,16,ga_gauss,ga_gauss,14.879,12.65414342361718,0.7908839639760737
parallel_n16,parallel,16,ga_poisson_gauss,ga_poisson_gauss,12.165,12.509083436087137,0.781817714755446
parallel_n2,parallel,2,ga_gauss,ga_gauss,105.065,1.7920430209870082,0.8960215104935041
parallel_n2,parallel,2,ga_poisson_gauss,ga_poisson_gauss,74.248,2.049523219480659,1.0247616097403296
parallel_n32,parallel,32,ga_gauss,ga_gauss,9.55,19.715287958115184,0.6161027486910995
parallel_n32,parallel,32,ga_poisson_gauss,ga_poisson_gauss,7.5600000000000005,20.128703703703703,0.6290219907407407
parallel_n4,parallel,4,ga_gauss,ga_gauss,48.841,3.854978399295674,0.9637445998239185
parallel_n4,parallel,4,ga_poisson_gauss,ga_poisson_gauss,38.555,3.9469070159512385,0.9867267539878096
parallel_n64,parallel,64,ga_gauss,ga_gauss,8.591,21.916074962169716,0.3424386712839018
parallel_n64,parallel,64,ga_poisson_gauss,ga_poisson_gauss,7.381,20.616854084812356,0.32213834507519307
parallel_n8,parallel,8,ga_gauss,ga_gauss,25.622,7.348411521348841,0.9185514401686051
parallel_n8,parallel,8,ga_poisson_gauss,ga_poisson_gauss,20.391,7.462753175420529,0.9328441469275661
parallel_n86,parallel,86,ga_gauss,ga_gauss,9.028,20.85522817899867,0.24250265324417056
parallel_n86,parallel,86,ga_poisson_gauss,ga_poisson_gauss,7.654,19.88149986934936,0.23118023103894603
